-0.67;-0.12;0.06;-0.11;-0.08;-0.98;23.66;271.34;398.96;0.28;-1.32;-0.26;
0.24;-0.12;0.43;-0.11;-0.08;-0.99;-18.11;-114.15;-174.94;0.20;-0.55;-0.90;
0.43;-0.30;-0.37;-0.11;-0.08;-0.99;11.16;-9.51;-40.49;0.32;-1.17;-0.57;
-0.18;-0.24;-0.12;-0.10;-0.07;-0.99;22.93;-39.09;-90.55;0.40;-0.36;-0.60;
0.43;0.61;-0.12;-0.10;-0.08;-0.98;-61.95;62.38;182.44;0.20;-0.64;-0.70;
1.16;-0.49;-0.18;-0.10;-0.09;-0.99;35.61;-86.04;-150.79;0.34;-0.99;-0.58;
-0.67;0.73;3.41;-0.10;-0.05;-0.99;-69.76;74.02;205.06;0.23;-0.78;-0.56;
-0.67;0.30;0.61;-0.11;-0.08;-0.98;83.48;-199.09;-346.46;0.46;-1.37;-0.49;
-0.06;-0.12;-0.30;-0.10;-0.08;-0.98;-77.93;-97.74;-26.52;0.49;-0.29;-0.91;
-2.56;0.18;0.67;-0.10;-0.07;-0.98;-400.12;-23.48;-142.20;0.13;0.11;-0.01;
-0.98;-0.37;0.30;-0.10;-0.09;-0.98;-3.17;-2.50;3.17;0.14;0.05;-0.99;
-54.02;-6.28;6.95;0.12;0.03;-0.83;2.07;-1.04;6.40;0.14;0.04;-0.98;
-1.40;1.52;0.85;-0.10;-0.08;-0.99;0.49;0.06;-0.06;0.15;0.05;-0.99;
-0.43;0.18;0.06;-0.10;-0.09;-0.98;1.83;0.73;0.30;0.14;0.05;-0.99;
-0.61;-0.49;0.67;-0.10;-0.09;-0.99;0.43;0.61;0.67;0.15;0.06;-0.98;
-0.18;-0.18;0.24;-0.10;-0.09;-0.99;1.34;-1.40;0.06;0.14;0.06;-0.96;
-0.30;-0.18;0.43;-0.10;-0.08;-0.98;0.30;0.43;0.49;0.14;0.05;-0.99;
-0.43;0.18;0.24;-0.11;-0.08;-0.99;0.67;0.55;0.49;0.14;0.05;-0.99;
-0.43;0.18;0.06;-0.10;-0.08;-0.99;0.00;0.24;0.18;0.15;0.05;-1.00;
-0.43;-0.37;-0.12;-0.10;-0.08;-0.98;0.43;-0.12;0.24;0.14;0.05;-0.99;
0.30;-0.12;-0.18;-0.11;-0.08;-0.98;0.37;0.06;-0.12;0.14;0.05;-0.99;
-0.12;-0.12;0.18;-0.10;-0.08;-0.99;-0.30;0.24;0.49;0.14;0.05;-0.98;
-0.61;-0.30;-0.30;-0.10;-0.10;-0.99;1.52;0.18;0.67;0.14;0.06;-0.99;
-0.12;-0.67;0.06;-0.10;-0.09;-0.99;0.18;-0.06;0.30;0.14;0.05;-0.99;
-0.06;-0.12;0.55;-0.11;-0.09;-0.98;0.24;0.12;0.06;0.14;0.06;-0.99;
0.00;0.43;0.43;-0.11;-0.09;-0.98;-0.12;0.18;-0.12;0.14;0.05;-0.98;
0.00;-0.06;-0.61;-0.10;-0.08;-0.99;0.79;0.00;0.37;0.14;0.05;-0.99;
-0.18;0.00;-0.30;-0.11;-0.09;-0.99;1.34;0.61;0.85;0.14;0.05;-0.99;
-0.61;-0.06;0.06;-0.10;-0.08;-0.98;0.49;0.30;0.43;0.15;0.06;-0.99;
-0.61;-0.06;0.18;-0.11;-0.08;-0.98;-0.24;0.06;0.18;0.15;0.06;-0.97;
-0.43;-0.06;0.30;-0.10;-0.09;-0.98;0.30;0.24;0.06;0.14;0.05;-0.99;
-0.30;-0.18;-0.30;-0.10;-0.08;-0.99;-0.30;0.06;0.12;0.14;0.05;-1.00;
-0.30;-0.18;0.12;-0.11;-0.09;-0.98;0.37;0.37;0.00;0.14;0.05;-1.00;
-0.30;0.06;0.00;-0.11;-0.08;-0.99;0.61;0.49;0.24;0.14;0.04;-0.99;
0.49;-0.37;-0.12;-0.10;-0.09;-1.00;0.91;0.24;0.30;0.15;0.06;-0.99;
-0.30;-0.18;0.30;-0.10;-0.09;-0.99;0.55;0.00;0.49;0.14;0.06;-0.98;
-1.28;-0.18;-0.12;-0.11;-0.08;-0.98;0.06;-0.06;0.00;0.15;0.06;-0.99;
-0.18;0.00;-0.18;-0.10;-0.09;-0.99;0.79;0.12;0.18;0.15;0.04;-0.99;
-0.24;-0.18;0.18;-0.11;-0.08;-0.98;0.18;0.06;0.24;0.15;0.06;-0.99;
0.24;-0.43;-0.06;-0.10;-0.08;-0.99;0.30;0.49;0.06;0.15;0.06;-0.99;
-0.73;-0.24;0.06;-0.10;-0.09;-0.98;0.43;0.49;0.00;0.14;0.05;-1.00;
-0.43;-0.55;0.49;-0.11;-0.09;-0.99;-0.12;0.37;0.24;0.13;0.05;-0.99;
-0.49;-0.06;0.00;-0.09;-0.09;-0.98;0.00;-0.12;0.12;0.14;0.05;-0.99;
-0.24;-0.79;-0.24;-0.10;-0.09;-0.98;0.43;0.12;0.30;0.15;0.05;-0.98;
-0.06;-0.24;-0.18;-0.10;-0.09;-0.99;0.49;0.24;0.24;0.14;0.06;-0.99;
-0.37;-0.43;0.24;-0.11;-0.09;-0.99;0.85;0.49;0.12;0.14;0.06;-0.98;
-0.06;-0.37;0.18;-0.10;-0.09;-0.98;0.73;0.67;0.18;0.14;0.05;-0.99;
